City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
3,Bengkulu,ID,74.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
5,Sao Joao Da Barra,BR,73.18,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
13,Vieux-Habitants,GP,76.71,few clouds,16.0589,-61.7659,Gîtes Dardanelle
15,Codajas,BR,75.11,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
17,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
18,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Araripina,BR,70.81,broken clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
25,Tabou,CI,78.55,broken clouds,4.423,-7.3528,hotêl doufoulougou
26,Maragogi,BR,80.76,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
28,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
32,Pauini,BR,74.88,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
35,Palmas Bellas,PA,84.11,few clouds,9.2319,-80.0867,Estación de Chagres
37,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
40,Jizan,SA,76.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
50,Port Alfred,ZA,70.92,clear sky,-33.5906,26.891,The Halyards Hotel
51,Codrington,AU,70.92,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
54,Copperas Cove,US,75.96,haze,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
56,Nortelandia,BR,73.98,light rain,-14.4547,-56.8028,Hotel Karysmã
58,Puerto Madero,MX,86.2,clear sky,14.7208,-92.4215,Hospedaje madero
59,Souillac,MU,75.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Timon,BR,82.18,few clouds,-5.0942,-42.8367,Pousada dos Cocais
61,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
63,Port-Gentil,GA,80.65,broken clouds,-0.7193,8.7815,Fengshui Residence
64,Saquarema,BR,73.54,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
65,Meulaboh,ID,75.22,overcast clouds,4.1363,96.1285,Kost Pria
70,Chuy,UY,72.79,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
71,Arraial Do Cabo,BR,73.36,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
74,East London,ZA,72.81,broken clouds,-33.0153,27.9116,Tu Casa
76,Itarema,BR,79.39,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
81,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
82,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
83,Laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
84,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
87,Matanzas,CU,75.96,broken clouds,23.0411,-81.5775,hostal sueños
88,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Carauari,BR,74.86,overcast clouds,-4.8828,-66.8958,Hotel Fellip
92,Sao Filipe,CV,78.84,broken clouds,14.8961,-24.4956,Hotel Xaguate
93,Ugoofaaru,MV,81.19,overcast clouds,5.6667,73.0,Ungoofaaru Inn
95,Punta Cardon,VE,77.77,overcast clouds,11.6581,-70.215,Bambuda hotel
103,Caravelas,BR,76.01,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
112,Benguela,AO,75.27,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
115,El Ocotito,MX,74.53,scattered clouds,17.25,-99.5667,La aldea escondida entre las hojad
116,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
124,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
125,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
135,Bayeux,BR,83.03,few clouds,-7.125,-34.9322,Infinity Motel
137,Jardim,BR,81.54,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
143,Santa Maria,BR,76.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
144,Sinnamary,GF,76.35,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
147,Dondo,MZ,80.11,clear sky,-19.6094,34.7431,Arco Iris
151,Bosaso,SO,72.95,broken clouds,11.2842,49.1816,Red Sea Hotel
156,Kalmunai,LK,76.6,overcast clouds,7.4167,81.8167,VS Villa
157,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
161,Cidreira,BR,74.95,clear sky,-30.1811,-50.2056,Hotel Castelo
163,Mayumba,GA,76.91,clear sky,-3.432,10.6554,LIKWALE LODGE
164,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
168,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
169,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
172,Marsh Harbour,BS,73.85,broken clouds,26.5412,-77.0636,Abaco Beach Resort
173,Port Blair,IN,76.78,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
174,Aquiraz,BR,82.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
179,Prieska,ZA,81.0,clear sky,-29.6641,22.7474,Avenue GuestHouse
180,Pontes E Lacerda,BR,73.81,overcast clouds,-15.2261,-59.3353,Hotel Bressan
181,Sao Joao Do Paraiso,BR,70.0,broken clouds,-15.3136,-42.0144,Avenida Palace Hotel
182,Impfondo,CG,74.73,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
183,Orocue,CO,85.08,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
185,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
187,Luanda,AO,75.72,overcast clouds,-8.8368,13.2343,Hotel Fórum
190,Savannah Bight,HN,79.0,few clouds,16.45,-85.85,Villa on Dunbar Rock
192,Sinazongwe,ZM,73.53,light rain,-17.2614,27.4618,Lakeview Lodge
197,Santa Rosa,PH,79.86,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
198,Ararangua,BR,75.87,few clouds,-28.9347,-49.4858,Hotel Mazzuco
200,Canavieiras,BR,76.75,scattered clouds,-15.675,-38.9472,Bahiadomizil
201,Santa Barbara,US,79.36,clear sky,34.7333,-120.0343,Upper Ballard Campground
204,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
207,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
209,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
211,Vallenar,CL,72.12,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
218,Moroni,KM,77.52,overcast clouds,-11.7022,43.2551,Hotel les Arcades
222,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
223,Soyo,AO,76.95,broken clouds,-6.1349,12.3689,Hotel Mpampa
228,Maldonado,UY,74.59,overcast clouds,-34.6667,-54.9167,La Cimarrona
229,Tebingtinggi,ID,76.1,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
230,Dingle,PH,77.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
