City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Weather Description
0,Port Alfred,ZA,-33.5906,26.891,75.61,92,5,12.91,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,57.11,44,29,23.42,scattered clouds
2,Hofn,IS,64.2539,-15.2082,24.37,69,100,20.8,overcast clouds
3,Chuy,UY,-33.6971,-53.4616,68.36,97,100,8.1,overcast clouds
4,La Paz,BO,-16.5,-68.15,55.38,71,75,9.22,broken clouds
5,Ushuaia,AR,-54.8,-68.3,47.86,53,40,42.57,scattered clouds
6,Tasiilaq,GL,65.6145,-37.6368,8.76,66,100,4.05,overcast clouds
7,Lebu,CL,-37.6167,-73.65,67.35,61,25,11.36,scattered clouds
8,Menongue,AO,-14.6585,17.691,63.64,94,100,2.1,light rain
9,Bengkulu,ID,-3.8004,102.2655,75.51,85,89,4.81,overcast clouds
10,Tucuman,AR,-26.8241,-65.2226,71.6,64,75,6.91,broken clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,97,3.0,overcast clouds
12,Cookeville,US,36.1628,-85.5016,46.8,71,100,8.05,overcast clouds
13,Busselton,AU,-33.65,115.3333,56.08,76,0,12.03,clear sky
14,Paamiut,GL,61.994,-49.6678,19.99,95,100,11.39,light snow
15,Port Elizabeth,ZA,-33.918,25.5701,74.16,94,49,6.24,scattered clouds
16,Ustye,RU,59.6304,39.736,19.56,95,100,9.06,light snow
17,Talnakh,RU,69.4865,88.3972,-8.59,79,14,9.42,few clouds
18,Mahebourg,MU,-20.4081,57.7,79.25,85,10,10.29,moderate rain
19,Hithadhoo,MV,-0.6,73.0833,81.25,69,100,10.98,overcast clouds
20,Khatanga,RU,71.9667,102.5,-19.05,90,30,4.83,scattered clouds
21,Rio Cuarto,AR,-33.1307,-64.3499,69.67,40,0,8.05,clear sky
22,Roanoke Rapids,US,36.4615,-77.6542,72.45,40,0,8.05,clear sky
23,Jamestown,US,42.097,-79.2353,30.09,63,100,14.97,mist
24,Saint-Georges,GD,12.0564,-61.7485,78.89,71,98,14.29,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,-20.67,48,0,8.48,clear sky
26,Ostrovnoy,RU,68.0531,39.5131,9.73,95,57,6.24,broken clouds
27,San Pedro De Macoris,DO,18.4616,-69.2972,86.61,66,73,8.93,broken clouds
28,Coihaique,CL,-45.5752,-72.0662,86.61,36,0,4.61,clear sky
29,Albany,US,42.6001,-73.9662,46.38,55,55,8.99,broken clouds
30,Castro,BR,-24.7911,-50.0119,77.47,57,44,5.03,scattered clouds
31,Montecristo,CO,8.2971,-74.4733,88.38,62,78,1.52,broken clouds
32,Cape Town,ZA,-33.9258,18.4232,70.09,78,100,7.0,overcast clouds
33,Georgetown,MY,5.4112,100.3354,82.33,75,20,6.91,few clouds
34,East London,ZA,-33.0153,27.9116,76.78,88,0,10.58,clear sky
35,Ponta Do Sol,PT,32.6667,-17.1,63.23,55,28,4.99,scattered clouds
36,Arlit,NE,18.7369,7.3853,71.08,11,0,5.1,clear sky
37,Montivilliers,FR,49.5452,0.1877,43.57,56,0,13.09,clear sky
38,Dikson,RU,73.5069,80.5464,-2.92,78,100,26.93,overcast clouds
39,Molina,CL,-35.1167,-71.2833,92.93,16,0,6.91,clear sky
40,Hambantota,LK,6.1241,81.1185,76.28,85,94,10.63,overcast clouds
41,Yenagoa,NG,4.9247,6.2642,81.37,70,97,7.4,overcast clouds
42,Saint Anthony,US,45.0205,-93.218,5.29,61,100,6.91,overcast clouds
43,Rocha,UY,-34.4833,-54.3333,66.02,94,100,18.12,overcast clouds
44,Hermanus,ZA,-34.4187,19.2345,68.81,84,100,3.49,overcast clouds
45,Usogorsk,RU,63.4106,48.6872,17.85,95,99,6.76,overcast clouds
46,Torbay,CA,47.6666,-52.7314,45.75,81,97,5.99,overcast clouds
47,Saint George,US,37.1041,-113.5841,66.67,15,0,4.61,clear sky
48,Halifax,CA,44.6453,-63.5724,52.7,79,23,8.99,few clouds
49,Carnarvon,AU,-24.8667,113.6333,84.27,61,75,8.05,broken clouds
50,Kavaratti,IN,10.5669,72.642,80.55,71,6,7.92,clear sky
51,San Vicente,AR,-26.6167,-54.1333,85.62,39,57,2.01,broken clouds
52,Bredasdorp,ZA,-34.5322,20.0403,68.29,79,100,2.51,overcast clouds
53,Ler,SS,8.3018,30.1418,82.29,26,36,5.44,scattered clouds
54,Pokaran,IN,26.9167,71.9167,65.17,19,0,7.02,clear sky
55,Yelnya,RU,54.5786,33.1837,21.6,92,22,11.97,few clouds
56,Cayenne,GF,4.9333,-52.3333,77.04,88,100,17.27,light rain
57,Oranjemund,NA,-28.55,16.4333,68.72,76,2,9.01,clear sky
58,Luderitz,NA,-26.6481,15.1594,73.24,71,3,8.32,clear sky
59,Kalmunai,LK,7.4167,81.8167,76.48,88,100,2.46,light rain
60,Indi,IN,17.1667,75.9667,76.05,36,22,5.1,few clouds
61,Machaneng,BW,-23.1862,27.4886,76.12,29,90,10.18,overcast clouds
62,Klodzko,PL,50.4349,16.6614,33.66,81,25,5.61,scattered clouds
63,Cockburn Town,TC,21.4612,-71.1419,77.83,74,0,19.26,clear sky
64,Porbandar,IN,21.6422,69.6093,68.32,45,2,10.2,clear sky
65,Santo Antonio Do Ica,BR,-3.1022,-67.9397,84.27,75,100,4.14,overcast clouds
66,Moba,CN,33.2288,105.0179,30.09,85,85,5.64,overcast clouds
67,Chardara,KZ,41.2547,67.9692,37.63,66,71,7.47,broken clouds
68,Honningsvag,NO,70.9821,25.9704,24.33,62,100,22.21,snow
69,Candido De Abreu,BR,-24.5669,-51.3333,86.97,36,15,1.77,few clouds
70,Olafsvik,IS,64.8945,-23.7142,26.78,71,35,18.7,scattered clouds
71,Shelburne,CA,44.0787,-80.2041,17.13,75,100,11.25,overcast clouds
72,Bambous Virieux,MU,-20.3428,57.7575,79.21,85,9,10.29,moderate rain
73,Alta Floresta,BR,-9.8756,-56.0861,75.42,94,99,2.91,overcast clouds
